Applicant Name,Case Interview Score,Score from 1 to 5 (1 is lowest)
22A,3.33,3
22A,3.33,4
22A,3.33,3
22A,3.33,1
22A,3.33,4
22A,3.33,4
22A,3.33,3
22A,3.33,3
22A,3.33,3
22A,3.33,3
22A,3.33,1
22A,3.33,3
22A,3.33,5
22A,3.33,4
22A,3.33,5
22A,3.33,3
22A,3.33,5
22A,3.33,3
22A,3.33,4
22A,3.33,2
22A,3.33,2
22A,3.33,4
22A,3.33,3
22A,3.33,3
22A,3.33,2
22A,3.33,2
22A,3.33,3
22A,3.33,3
22A,3.33,3
23A,3.96,2
23A,3.96,1
23A,3.96,3
23A,3.96,2
23A,3.96,2
23A,3.96,1
23A,3.96,3
23A,3.96,3
23A,3.96,2
23A,3.96,2
23A,3.96,1
23A,3.96,3
23A,3.96,3
23A,3.96,4
23A,3.96,2
23A,3.96,3
23A,3.96,1
23A,3.96,2
23A,3.96,2
23A,3.96,1
23A,3.96,2
23A,3.96,1
23A,3.96,2
23A,3.96,3
23A,3.96,2
23A,3.96,4
23A,3.96,2
23A,3.96,3
23A,3.96,3
24A,4.17,5
24A,4.17,5
24A,4.17,4
24A,4.17,3
24A,4.17,4
24A,4.17,4
24A,4.17,5
24A,4.17,4
24A,4.17,4
24A,4.17,4
24A,4.17,4
24A,4.17,4
24A,4.17,5
24A,4.17,4
24A,4.17,5
24A,4.17,3
24A,4.17,4
24A,4.17,4
24A,4.17,4
24A,4.17,4
24A,4.17,4
24A,4.17,4
24A,4.17,4
24A,4.17,5
24A,4.17,4
24A,4.17,5
24A,4.17,4
24A,4.17,5
32A,4.38,4
32A,4.38,3
32A,4.38,4
32A,4.38,2
32A,4.38,4
32A,4.38,3
32A,4.38,3
32A,4.38,3
32A,4.38,3
32A,4.38,4
32A,4.38,3
32A,4.38,4
32A,4.38,4
32A,4.38,5
32A,4.38,3
32A,4.38,2
32A,4.38,4
32A,4.38,2
32A,4.38,3
32A,4.38,3
32A,4.38,3
32A,4.38,3
32A,4.38,3
32A,4.38,3
32A,4.38,3
32A,4.38,4
32A,4.38,5
32A,4.38,4
4A,2.5,1
4A,2.5,3
4A,2.5,2
4A,2.5,2
4A,2.5,4
4A,2.5,2
4A,2.5,2
4A,2.5,2
4A,2.5,5
4A,2.5,4
4A,2.5,2
4A,2.5,4
4A,2.5,4
4A,2.5,2
4A,2.5,5
4A,2.5,5
4A,2.5,4
4A,2.5,3
4A,2.5,2
4A,2.5,3
4A,2.5,3
4A,2.5,1
4A,2.5,4
4A,2.5,1
4A,2.5,5
2A,3.75,3.5
3A,3.54,3.47
5A,4.27,3.335
6A,4.9,3.225
7A,3.13,3.19
8A,2.4,2.85
9A,3.23,2.615
10A,2.81,2.38
